Age,Gender,City,AdType,Budget,DurationSec,Impressions,CTR,Clicks,ConversionRate,Conversions,Performance
56,Male,Mumbai,Image,48936,11,1808652,5.14,92964,0.93,864,High
46,Female,Mumbai,Carousel,68041,7,2344682,4.39,102931,4.92,5064,High
32,Female,Delhi,Carousel,30267,33,926874,3.84,35591,2.52,896,High
25,Male,Hyderabad,Shorts,50156,40,1735996,3.6,62495,0.16,99,High
38,Female,Hyderabad,Shorts,61013,43,1335366,4.04,53948,4.78,2578,High
56,Female,Chennai,Shorts,63940,8,1954852,3.53,69006,2.54,1752,High
36,Female,Mumbai,Carousel,60968,13,1574545,4.38,68965,4.2,2896,High
40,Female,Chennai,Carousel,28736,59,1133707,7.12,80719,2.79,2252,High
28,Female,Mumbai,Video,66976,21,2487671,5.1,126871,0.6,761,High
28,Female,Delhi,Shorts,51007,53,1768215,5.81,102733,3.12,3205,High
41,Male,Hyderabad,Carousel,33716,24,1303967,4.82,62851,4.99,3136,High
53,Male,Hyderabad,Video,49637,18,1337078,5.18,69260,0.27,187,High
57,Male,Delhi,Carousel,20620,50,783923,4.67,36609,4.22,1544,High
41,Male,Chennai,Video,58674,33,1555153,0.31,4820,1.25,60,High
20,Male,Chennai,Shorts,48084,17,1666408,8.0,133312,2.03,2706,High
39,Female,Bangalore,Shorts,30948,40,1074781,0.37,3976,1.93,76,High
19,Male,Mumbai,Shorts,45648,49,929730,3.22,29937,4.5,1347,High
41,Male,Chennai,Carousel,39388,57,1072188,0.93,9971,2.57,256,High
47,Female,Delhi,Carousel,40346,21,822605,0.87,7156,2.29,163,High
55,Female,Chennai,Video,16084,51,642444,6.37,40923,4.11,1681,High
19,Male,Hyderabad,Image,24917,54,559247,3.46,19349,0.34,65,High
38,Female,Mumbai,Image,46554,47,1436496,6.43,92366,0.52,480,High
50,Female,Kolkata,Shorts,43973,8,1574749,2.26,35589,0.21,74,High
29,Female,Bangalore,Image,64609,24,1552264,2.13,33063,3.47,1147,High
39,Female,Mumbai,Shorts,40523,15,1203583,2.08,25034,2.68,670,High
42,Male,Hyderabad,Video,42095,46,1353303,4.97,67259,4.39,2952,High
44,Female,Hyderabad,Image,42796,26,993051,6.54,64945,2.54,1649,High
59,Male,Hyderabad,Image,47044,49,1673426,3.67,61414,1.19,730,High
45,Male,Hyderabad,Shorts,51371,58,1334989,3.1,41384,4.05,1676,High
33,Female,Delhi,Video,43905,12,1063401,7.79,82838,1.54,1275,High
32,Female,Bangalore,Image,58568,32,1825327,1.02,18618,4.68,871,High
20,Female,Kolkata,Image,84503,49,2383523,3.94,93910,1.33,1249,High
54,Male,Hyderabad,Image,37618,45,1444759,3.33,48110,0.92,442,High
24,Female,Hyderabad,Video,55877,34,2101062,0.88,18489,2.52,465,High
38,Female,Chennai,Video,50442,37,1496489,2.22,33222,0.35,116,High
26,Female,Bangalore,Image,65705,37,1786222,0.32,5715,0.28,16,High
56,Female,Mumbai,Shorts,53044,51,1406241,7.03,98858,2.53,2501,High
35,Female,Bangalore,Shorts,39103,58,991316,4.9,48574,1.15,558,High
21,Male,Bangalore,Image,32524,40,1004703,6.54,65707,0.15,98,High
42,Female,Kolkata,Video,59157,31,2135554,4.22,90120,1.55,1396,High
31,Female,Bangalore,Image,33742,24,884576,4.84,42813,2.44,1044,High
26,Female,Kolkata,Video,67756,37,1612722,5.64,90957,2.03,1846,High
43,Male,Hyderabad,Image,58297,29,1720351,7.27,125069,0.76,950,High
19,Female,Hyderabad,Video,51300,48,1096842,0.82,8994,2.94,264,High
37,Male,Delhi,Carousel,30316,47,1031525,2.71,27954,3.58,1000,High
45,Male,Kolkata,Shorts,60129,23,1825973,5.7,104080,3.41,3549,High
24,Female,Kolkata,Carousel,74251,51,2222161,7.67,170439,2.03,3459,High
25,Female,Mumbai,Shorts,43623,25,1134601,7.85,89066,0.77,685,High
52,Female,Chennai,Video,38871,46,1480746,5.14,76110,2.55,1940,High
