age,gender,city,interest_category,media_spend,impressions,click_through_rate,view_time,ad_creativity_score,brand_familiarity,purchase_intent,ad_performance
48,Male,Hyderabad,Travel,365783,1309027,1.1994875671753118,4.641204106075323,3.411142898053225,7.946261499770117,3.9878975837896036,Low
36,Female,Bengaluru,Fashion,654095,523598,0.8546805437830118,5.905750932140249,5.5944644830347645,4.636648506921558,2.689103122985478,Low
48,Male,Chennai,Food,517132,944695,3.964856353473757,5.230709085251785,1.482792868813642,9.944560867554914,3.8457059254191286,Medium
30,Other,Hyderabad,Food,642238,1109337,4.932086788925951,4.29197733901091,2.7809729830235,4.949981136622689,2.1262686844577203,Low
21,Other,Ahmedabad,Technology,596696,1112572,4.009535139466484,4.500102458230459,8.249004462287227,4.800975818381447,4.421882184053906,Medium
37,Female,Bengaluru,Travel,718243,790497,3.172066198890523,3.861719912966836,2.1258219616051997,1.687102868000267,-0.5140540960450437,Low
30,Male,Mumbai,Automobile,502763,940697,1.1680881884990824,2.8796678684154022,4.740779151235733,8.550315985818509,4.777677272463922,Medium
50,Female,Chennai,Fashion,429977,976098,0.6056863018578713,2.3341040824968253,4.954768550377713,2.8041472130833025,2.55156213124894,Low
40,Other,Bengaluru,Healthcare,407905,1204641,3.8821985996580497,5.391024742999781,3.1392237641186247,6.983399550096983,5.072766713640979,Low
55,Other,Mumbai,Travel,405728,1139034,4.187977653401301,1.4446279528448494,1.5131068293224277,9.732421344721258,4.657234290152734,Medium
28,Male,Kolkata,Entertainment,647335,1090801,4.260565340646426,4.45260947206213,7.558260000670253,9.125409739619759,4.976115548278069,Low
32,Male,Kolkata,Technology,609154,950018,1.487143184937298,3.9991996561308234,7.783246419986874,6.523827253251549,3.406121211234969,Low
51,Male,Hyderabad,Automobile,327938,773559,4.9324634838673855,4.311892443925391,6.189047185588459,7.646317166830172,5.354824825620876,Medium
58,Female,Chennai,Fashion,633844,976154,3.8161862838142104,3.841189205176592,4.621238794783444,8.632457156168712,3.5493807155570947,Low
55,Female,Bengaluru,Automobile,408501,906264,3.1006223059318327,1.8181343743426246,4.046016002625903,5.765361871115106,4.2616524283596,Low
41,Other,Bengaluru,Technology,561139,1317966,3.057219930404973,3.9757515927663425,1.203717388728009,1.4649297482662513,-0.7807751382925429,Low
